trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled
100_1_1,5:50:00,5:50:00,MTL1C,1,0,0,1,0
100_1_1,6:25:00,6:25:00,DEL9A,2,0,0,1,24.55
100_2_1,5:55:00,5:55:00,DEL9A,1,0,0,1,0
100_2_1,6:25:00,6:25:00,MTL1C,2,0,0,1,25.67
100_3_1,7:45:00,7:45:00,MTL1C,1,0,0,1,0
100_3_1,8:02:00,8:02:00,BRO68C,2,0,1,1,12.05
100_3_1,8:23:00,8:23:00,DEL9A,3,0,0,1,26.07
100_4_1,6:15:00,6:15:00,DEL9A,1,0,0,1,0
100_4_1,6:35:00,6:35:00,BRO68C,2,1,0,1,15.27
100_4_1,6:53:00,6:53:00,MTL1C,3,0,0,1,26.39
100_1_2,6:25:00,6:25:00,MTL1C,1,0,0,1,0
100_1_2,7:00:00,7:00:00,DEL9A,2,0,0,1,24.55
100_2_2,6:25:00,6:25:00,DEL9A,1,0,0,1,0
100_2_2,7:00:00,7:00:00,MTL1C,2,0,0,1,25.67
100_3_2,16:45:00,16:45:00,MTL1C,1,0,0,1,0
100_3_2,17:02:00,17:02:00,BRO68C,2,0,1,1,12.05
100_3_2,17:25:00,17:25:00,DEL9A,3,0,0,1,26.07
100_4_2,7:15:00,7:15:00,DEL9A,1,0,0,1,0
100_4_2,7:35:00,7:35:00,BRO68C,2,1,0,1,15.27
100_4_2,7:53:00,7:53:00,MTL1C,3,0,0,1,26.39
100_1_3,6:40:00,6:40:00,MTL1C,1,0,0,1,0
100_1_3,7:15:00,7:15:00,DEL9A,2,0,0,1,24.55
100_2_3,6:30:00,6:30:00,DEL9A,1,0,0,1,0
100_2_3,7:05:00,7:05:00,MTL1C,2,0,0,1,25.67
100_3_3,17:10:00,17:10:00,MTL1C,1,0,0,1,0
100_3_3,17:27:00,17:27:00,BRO68C,2,0,1,1,12.05
100_3_3,17:50:00,17:50:00,DEL9A,3,0,0,1,26.07
100_4_3,7:45:00,7:45:00,DEL9A,1,0,0,1,0
100_4_3,8:05:00,8:05:00,BRO68C,2,1,0,1,15.27
100_4_3,8:23:00,8:23:00,MTL1C,3,0,0,1,26.39
100_1_4,6:55:00,6:55:00,MTL1C,1,0,0,1,0
100_1_4,7:30:00,7:30:00,DEL9A,2,0,0,1,24.55
100_2_4,6:45:00,6:45:00,DEL9A,1,0,0,1,0
100_2_4,7:20:00,7:20:00,MTL1C,2,0,0,1,25.67
100_3_4,17:45:00,17:45:00,MTL1C,1,0,0,1,0
100_3_4,18:02:00,18:02:00,BRO68C,2,0,1,1,12.05
100_3_4,18:25:00,18:25:00,DEL9A,3,0,0,1,26.07
100_4_4,8:30:00,8:30:00,DEL9A,1,0,0,1,0
100_4_4,8:50:00,8:50:00,BRO68C,2,1,0,1,15.27
100_4_4,9:08:00,9:08:00,MTL1C,3,0,0,1,26.39
100_1_5,7:00:00,7:00:00,MTL1C,1,0,0,1,0
100_1_5,7:35:00,7:35:00,DEL9A,2,0,0,1,24.55
100_2_5,6:50:00,6:50:00,DEL9A,1,0,0,1,0
100_2_5,7:25:00,7:25:00,MTL1C,2,0,0,1,25.67
100_4_5,18:20:00,18:20:00,DEL9A,1,0,0,1,0
100_4_5,18:40:00,18:40:00,BRO68C,2,1,0,1,15.27
100_4_5,18:58:00,18:58:00,MTL1C,3,0,0,1,26.39
100_1_6,7:10:00,7:10:00,MTL1C,1,0,0,1,0
100_1_6,7:45:00,7:45:00,DEL9A,2,0,0,1,24.55
100_2_6,6:55:00,6:55:00,DEL9A,1,0,0,1,0
100_2_6,7:30:00,7:30:00,MTL1C,2,0,0,1,25.67
100_1_7,7:25:00,7:25:00,MTL1C,1,0,0,1,0
100_1_7,8:00:00,8:00:00,DEL9A,2,0,0,1,24.55
100_2_7,7:05:00,7:05:00,DEL9A,1,0,0,1,0
100_2_7,7:40:00,7:40:00,MTL1C,2,0,0,1,25.67
100_2_8,7:30:00,7:30:00,DEL9A,1,0,0,1,0
100_2_8,8:05:00,8:05:00,MTL1C,2,0,0,1,25.67
100_1_9,7:55:00,7:55:00,MTL1C,1,0,0,1,0
100_1_9,8:30:00,8:30:00,DEL9A,2,0,0,1,24.55
100_2_9,7:35:00,7:35:00,DEL9A,1,0,0,1,0
100_2_9,8:10:00,8:10:00,MTL1C,2,0,0,1,25.67
100_1_10,8:15:00,8:15:00,MTL1C,1,0,0,1,0
100_1_10,8:50:00,8:50:00,DEL9A,2,0,0,1,24.55
100_2_10,8:00:00,8:00:00,DEL9A,1,0,0,1,0
