stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code
DEL9A,Autoparc Georges-Gagné,45.3846677297144,-73.548346537786,5,76090
SCA28A,rue Brébeuf / rue des Ormes,45.3905066014678,-73.5683638834569,5,76067
SCA92B,rue des Ormes / rue des Saules,45.3910003304665,-73.5703312505394,5,76068
SCA91B,rue des Ormes / rue des Marronniers,45.3915025936682,-73.5729755447942,5,76069
SCA90B,rue des Merisiers / rue des Ormes,45.391969389552,-73.5747258361126,5,76070
SCA89A,rue des Merisiers / rue des Cèdres,45.394552823359,-73.5734392641461,5,76071
SCA86C,rue St-Jean / rue de l'École,45.3966487005266,-73.5746681406802,5,76072
SCA15B,rue Centrale / rue St-Jean,45.3974294545362,-73.5778495697758,5,76073
SCA41C,rue Centrale / face au CPE,45.3943598000948,-73.5794929433489,5,76074
SCS2C,rue Maçon / rue Magdeleine,45.3925884076756,-73.5898354589031,5,76143
SCS3C,rue Maçon / rue Marcotte,45.3898068808613,-73.5910442952956,5,76087
SCS100C,rue Maçon / rue Monette,45.3891052137678,-73.5907622107982,5,76089
SCS40D,rue Maçon / rue Meunier,45.3884233605787,-73.5881559037675,5,76172
SCS189D,rue Maçon / rue Metras,45.3881029972883,-73.5833792038352,5,76414
SCS39C,rue Monchamp / ch. Ste-Catherine,45.3840616651408,-73.5846757705979,5,76175
SCS101D,ch. Ste-Catherine / crois. Ste-Catherine,45.385899193252,-73.5938729839023,5,76191
SCS43D,ch. Ste-Catherine / rue Valois,45.385075126928,-73.5891212128566,5,76120
SCS39D,ch. Ste-Catherine / rue Monchamp,45.3840616651408,-73.5846757705979,5,76121
SCS163D,ch. Ste-Catherine / rue Proulx,45.3835593409022,-73.5824914241697,5,76197
SCS190D,ch. Ste-Catherine / rue Laplante,45.3828416863408,-73.5793363365063,5,76198
SCS103D,ch. Ste-Catherine / ch. Petit-St-Régis nord,45.3822675204449,-73.5767816775398,5,76199
SCS169D,ch. Ste-Catherine / rue St-Charles,45.3815048299298,-73.5734479080291,5,76109
SCS105D,ch. Ste-Catherine / rue Cartier,45.3808407357547,-73.570586801504,5,76110
SCS17D,ch. Ste-Catherine / rue Berri,45.3801675636063,-73.5677385199478,5,76111
SCS41D,ch. Ste-Catherine / rue Léger,45.379853480746,-73.5662569715163,5,76112
SCS117D,ch. Ste-Catherine / rue Longtin,45.3795931670499,-73.5651330238591,5,76113
DEL47D,montée des Bouleaux / rue Circle,45.3787773912724,-73.5594501074614,5,76146
DEL38D,montée des Bouleaux / rue des Cheminots,45.3787609668005,-73.5563473471256,5,76147
DEL7F,boul. Georges-Gagné / montée des Bouleaux,45.3786827876446,-73.5503333188736,5,76423
DEL8A,boul. Georges-Gagné / rue Viau,45.3812929434476,-73.5490587288087,5,76150
DEL10A,rue Principale / boul. St-Laurent,45.3908173547683,-73.5390032586954,5,76253
DEL11A,rue Principale / rue Bellefleur,45.3927340269035,-73.5390939785026,5,76344
DEL12A,rue Principale / rue Corriveau,45.3952717714575,-73.538687017605,5,76345
DEL13A,rue Principale / rue Soucy,45.3981246089648,-73.5378459561887,5,76346
DEL14A,rue Principale / boul. Marie-Victorin,45.4006712232713,-73.5378093360534,5,76257
DEL24C,rue Principale / rue Delvista,45.3796583707125,-73.5410002704724,5,76002
