route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
100,0102030405,100_1_1,Direction Delson,1,100_1,1
100,0102030405,100_2_1,Direction Montréal,0,100_2,2
100,0102030405,100_3_1,Direction Delson,1,100_3,15
100,0102030405,100_4_1,Direction Montréal,0,100_4,4
100,0102030405,100_1_2,Direction Delson,1,100_1,3
100,0102030405,100_2_2,Direction Montréal,0,100_2,6
100,0102030405,100_3_2,Direction Delson,1,100_3,35
100,0102030405,100_4_2,Direction Montréal,0,100_4,18
100,0102030405,100_1_3,Direction Delson,1,100_1,5
100,0102030405,100_2_3,Direction Montréal,0,100_2,8
100,0102030405,100_3_3,Direction Delson,1,100_3,41
100,0102030405,100_4_3,Direction Montréal,0,100_4,24
100,0102030405,100_1_4,Direction Delson,1,100_1,7
100,0102030405,100_2_4,Direction Montréal,0,100_2,10
100,0102030405,100_3_4,Direction Delson,1,100_3,49
100,0102030405,100_4_4,Direction Montréal,0,100_4,28
100,0102030405,100_1_5,Direction Delson,1,100_1,9
100,0102030405,100_2_5,Direction Montréal,0,100_2,12
100,0102030405,100_4_5,Direction Montréal,0,100_4,50
100,0102030405,100_1_6,Direction Delson,1,100_1,11
100,0102030405,100_2_6,Direction Montréal,0,100_2,14
100,0102030405,100_1_7,Direction Delson,1,100_1,13
100,0102030405,100_2_7,Direction Montréal,0,100_2,16
100,0102030405,100_2_8,Direction Montréal,0,100_2,20
100,0102030405,100_1_9,Direction Delson,1,100_1,17
100,0102030405,100_2_9,Direction Montréal,0,100_2,22
100,0102030405,100_1_10,Direction Delson,1,100_1,19
100,0102030405,100_2_10,Direction Montréal,0,100_2,26
100,0102030405,100_1_11,Direction Delson,1,100_1,21
100,0102030405,100_1_12,Direction Delson,1,100_1,23
100,0102030405,100_2_12,Direction Montréal,0,100_2,30
100,0102030405,100_1_13,Direction Delson,1,100_1,25
100,0102030405,100_2_13,Direction Montréal,0,100_2,32
100,0102030405,100_1_14,Direction Delson,1,100_1,27
