shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
38_1,45.381927080501,-73.5982973237448,1,0.0
38_1,45.3803515067281,-73.5992394883598,2,0.19
38_1,45.3769843679222,-73.6011232758385,3,0.59
38_1,45.3772621073015,-73.6024899632573,4,0.7
38_1,45.3772796336053,-73.6030134893552,5,0.74
38_1,45.3771254285248,-73.6043666303257,6,0.85
38_1,45.3772326387988,-73.6052095252107,7,0.92
38_1,45.3767016028642,-73.6053362207256,8,0.98
38_1,45.3750901771204,-73.6060609859008,9,1.17
38_1,45.3721313237021,-73.5938374377985,10,2.18
38_1,45.3704898456175,-73.5871833096356,11,2.73
38_1,45.3700503678921,-73.5852548883886,12,2.89
38_1,45.3712206360666,-73.5846566072732,13,3.03
38_1,45.3741186558492,-73.5840353261706,14,3.35
38_1,45.375630198711,-73.5843439917855,15,3.52
38_1,45.3766291116388,-73.5842561007022,16,3.63
38_1,45.3781143529913,-73.5836198892373,17,3.81
38_1,45.3798235456282,-73.5843629948955,18,4.01
38_1,45.3815776878789,-73.5851572893448,19,4.21
38_1,45.3834855930233,-73.5848919930333,20,4.42
38_1,45.3840616651408,-73.5846757705979,21,4.49
38_1,45.385075126928,-73.5891212128566,22,4.86
38_1,45.385899193252,-73.5938729839023,23,5.24
38_1,45.3849430950404,-73.5965658465931,24,5.48
38_1,45.381927080501,-73.5982973237448,25,5.84
38_2,45.381927080501,-73.5982973237448,1,0.0
38_2,45.3849430950404,-73.5965658465931,2,0.36
38_2,45.385899193252,-73.5938729839023,3,0.6
38_2,45.385075126928,-73.5891212128566,4,0.98
38_2,45.3840616651408,-73.5846757705979,5,1.35
38_2,45.3815776878789,-73.5851572893448,6,1.63
38_2,45.3798235456282,-73.5843629948955,7,1.83
38_2,45.3781143529913,-73.5836198892373,8,2.03
38_2,45.3766291116388,-73.5842561007022,9,2.2
38_2,45.375630198711,-73.5843439917855,10,2.31
38_2,45.3741186558492,-73.5840353261706,11,2.48
38_2,45.3712206360666,-73.5846566072732,12,2.81
38_2,45.3700503678921,-73.5852548883886,13,2.95
38_2,45.3704898456175,-73.5871833096356,14,3.1
38_2,45.3721313237021,-73.5938374377985,15,3.66
38_2,45.3750901771204,-73.6060609859008,16,4.67
38_2,45.3756483400186,-73.6057939056999,17,4.73
38_2,45.3767016028642,-73.6053362207256,18,4.86
38_2,45.3772326387988,-73.6052095252107,19,4.92
38_2,45.3771254285248,-73.6043666303257,20,4.98
38_2,45.3772796336053,-73.6030134893552,21,5.09
38_2,45.3772621073015,-73.6024899632573,22,5.13
38_2,45.3769843679222,-73.6011232758385,23,5.24
