trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
36_2_9_merged_102030858,08:00:00,08:00:00,DEL9C_merged_102030407,1,,,,
36_2_9_merged_102030858,08:02:00,08:02:00,DEL25D,2,,,,0.78
36_2_9_merged_102030858,08:02:30,08:02:30,DEL24C,3,,,,0.99
36_2_9_merged_102030858,08:03:00,08:03:00,DEL5C,4,,,,1.35
36_2_9_merged_102030858,08:04:00,08:04:00,DEL4C,5,,,,1.54
36_2_9_merged_102030858,08:05:00,08:05:00,DEL3C,6,,,,1.76
36_2_9_merged_102030858,08:06:00,08:06:00,DEL57C,7,,,,2.5
36_2_9_merged_102030858,08:08:00,08:08:00,DEL65C,8,,,,3.2
36_2_9_merged_102030858,08:09:00,08:09:00,DEL61D,9,,,,3.44
36_2_9_merged_102030858,08:10:00,08:10:00,DEL1D,10,,,,3.79
36_2_9_merged_102030858,08:10:30,08:10:30,DEL69A,11,,,,3.95
36_2_9_merged_102030858,08:11:00,08:11:00,DEL3A,12,,,,4.65
36_2_9_merged_102030858,08:12:00,08:12:00,DEL67B,13,,,,4.97
36_2_9_merged_102030858,08:13:00,08:13:00,DEL68B,14,,,,5.27
36_2_9_merged_102030858,08:13:30,08:13:30,DEL19C,15,,,,5.6
36_2_9_merged_102030858,08:14:00,08:14:00,DEL20B,16,,,,5.98
36_2_9_merged_102030858,08:15:00,08:15:00,DEL60A,17,,,,6.2
36_2_9_merged_102030858,08:16:00,08:16:00,DEL7A,18,,,,6.43
36_2_9_merged_102030858,08:17:00,08:17:00,DEL8A,19,,,,6.74
36_2_9_merged_102030858,08:18:00,08:18:00,DEL9A,20,,,,7.19
32_2_13_merged_102030430,16:48:00,16:48:00,DEL9C_merged_102030406,1,,,,
32_2_13_merged_102030430,16:53:00,16:53:00,SCA28A,2,,,,2.18
32_2_13_merged_102030430,16:54:00,16:54:00,SCA108A,3,,,,2.67
32_2_13_merged_102030430,16:54:30,16:54:30,SCA13A,4,,,,2.81
32_2_13_merged_102030430,16:55:00,16:55:00,SCA57B,5,,,,3.03
32_2_13_merged_102030430,16:56:00,16:56:00,SCA45B,6,,,,3.48
32_2_13_merged_102030430,16:58:00,16:58:00,SCA14B,7,,,,3.8
32_2_13_merged_102030430,16:59:00,16:59:00,SCA74D,8,,,,4.48
32_2_13_merged_102030430,16:59:30,16:59:30,SCA104D,9,,,,4.74
32_2_13_merged_102030430,17:00:00,17:00:00,SCA25D,10,,,,5.08
32_2_13_merged_102030430,17:01:00,17:01:00,SCA11D,11,,,,5.38
32_2_13_merged_102030430,17:01:30,17:01:30,SCA12C,12,,,,5.91
32_2_13_merged_102030430,17:02:00,17:02:00,SCA13C,13,,,,6.28
32_2_13_merged_102030430,17:03:00,17:03:00,SCA31D,14,,,,6.47
32_2_13_merged_102030430,17:04:00,17:04:00,SCA27D,15,,,,6.77
32_2_13_merged_102030430,17:04:30,17:04:30,SCA63D,16,,,,6.94
32_2_13_merged_102030430,17:05:00,17:05:00,SCA55D,17,,,,7.02
32_2_13_merged_102030430,17:05:30,17:05:30,SCA26A,18,,,,7.35
32_2_13_merged_102030430,17:06:00,17:06:00,SCA43A,19,,,,7.59
32_2_13_merged_102030430,17:07:00,17:07:00,SCA10A,20,,,,8.02
32_2_13_merged_102030430,17:07:30,17:07:30,SCA9D,21,,,,8.28
32_2_13_merged_102030430,17:08:00,17:08:00,SCA8D,22,,,,8.6
32_2_13_merged_102030430,17:09:00,17:09:00,SCA81D,23,,,,8.84
32_2_13_merged_102030430,17:09:30,17:09:30,SCA18D,24,,,,9.07
32_2_13_merged_102030430,17:10:00,17:10:00,SCA19C,25,,,,9.63
32_2_13_merged_102030430,17:10:30,17:10:30,SCA20C,26,,,,10.0
32_2_13_merged_102030430,17:11:00,17:11:00,SCA79C,27,,,,10.28
32_2_13_merged_102030430,17:12:00,17:12:00,SCA21C,28,,,,10.72
32_2_13_merged_102030430,17:15:00,17:15:00,DEL9A,29,,,,11.38
30_2_17_merged_102030882,19:33:00,19:33:00,DEL9C_merged_102030407,1,,,,
30_2_17_merged_102030882,19:35:00,19:35:00,SCA21A,2,,,,0.66
30_2_17_merged_102030882,19:36:00,19:36:00,SCA79A,3,,,,1.1
30_2_17_merged_102030882,19:36:30,19:36:30,SCA20A,4,,,,1.38
30_2_17_merged_102030882,19:37:00,19:37:00,SCA39B,5,,,,1.83
30_2_17_merged_102030882,19:38:00,19:38:00,SCA55B,6,,,,2.04
30_2_17_merged_102030882,19:39:00,19:39:00,SCA27B,7,,,,2.29
30_2_17_merged_102030882,19:39:30,19:39:30,SCA31B,8,,,,2.6
30_2_17_merged_102030882,19:40:00,19:40:00,SCA13B,9,,,,2.78
30_2_17_merged_102030882,19:41:00,19:41:00,SCA57B,10,,,,3.0
30_2_17_merged_102030882,19:42:00,19:42:00,SCA45B,11,,,,3.46
30_2_17_merged_102030882,19:42:30,19:42:30,SCA14B,12,,,,3.77
30_2_17_merged_102030882,19:43:00,19:43:00,SCA15C,13,,,,4.13
30_2_17_merged_102030882,19:44:00,19:44:00,SCA107C,14,,,,4.63
30_2_17_merged_102030882,19:47:00,19:47:00,SCS2C,15,,,,5.81
30_2_17_merged_102030882,19:47:30,19:47:30,SCS3C,16,,,,6.14
30_2_17_merged_102030882,19:48:00,19:48:00,SCS100C,17,,,,6.22
30_2_17_merged_102030882,19:48:30,19:48:30,SCS4B,18,,,,6.42
30_2_17_merged_102030882,19:49:00,19:49:00,SCS5C,19,,,,6.67
30_2_17_merged_102030882,19:49:30,19:49:30,SCS43D,20,,,,7.12
30_2_17_merged_102030882,19:50:00,19:50:00,SCS114C,21,,,,7.55
30_2_17_merged_102030882,19:50:30,19:50:30,SCS10C,22,,,,7.76
30_2_17_merged_102030882,19:51:00,19:51:00,SCS83C,23,,,,7.97
30_2_17_merged_102030882,19:51:30,19:51:30,SCS148C,24,,,,8.16
30_2_17_merged_102030882,19:52:00,19:52:00,SCS138C,25,,,,8.62
30_2_17_merged_102030882,19:52:30,19:52:30,SCS139D,26,,,,8.9
30_2_17_merged_102030882,19:53:00,19:53:00,SCS63D,27,,,,9.09
30_2_17_merged_102030882,19:54:00,19:54:00,SCS44D,28,,,,9.38
30_2_17_merged_102030882,19:55:00,19:55:00,SCS147C,29,,,,9.78
30_2_17_merged_102030882,19:55:30,19:55:30,SCS23C,30,,,,10.02
30_2_17_merged_102030882,19:56:00,19:56:00,SCS24D,31,,,,10.2
30_2_17_merged_102030882,19:56:30,19:56:30,SCS221D,32,,,,10.36
30_2_17_merged_102030882,19:57:00,19:57:00,SCS48D,33,,,,10.66
30_2_17_merged_102030882,19:57:30,19:57:30,SCS54A,34,,,,11.38
30_2_17_merged_102030882,19:58:00,19:58:00,SCS19A,35,,,,11.87
30_2_17_merged_102030882,19:59:00,19:59:00,SCS129A,36,,,,12.24
30_2_17_merged_102030882,20:00:00,20:00:00,DEL47D,37,,,,12.74
30_2_17_merged_102030882,20:01:00,20:01:00,DEL38D,38,,,,12.98
30_2_17_merged_102030882,20:02:00,20:02:00,DEL7D,39,,,,13.46
30_2_17_merged_102030882,20:03:00,20:03:00,DEL6D,40,,,,13.87
30_2_17_merged_102030882,20:04:00,20:04:00,DEL5D,41,,,,14.25
30_2_17_merged_102030882,20:05:00,20:05:00,DEL24A,42,,,,14.6
30_2_17_merged_102030882,20:08:00,20:08:00,DEL9A,43,,,,15.6
35_1_2_merged_102030765,06:00:00,06:00:00,DEL9C_merged_102030406,1,,,,
35_1_2_merged_102030765,06:01:00,06:01:00,DEL8C,2,,,,0.45
35_1_2_merged_102030765,06:02:00,06:02:00,DEL7C,3,,,,0.76
35_1_2_merged_102030765,06:03:00,06:03:00,DEL15B,4,,,,1.12
35_1_2_merged_102030765,06:03:30,06:03:30,DEL47B,5,,,,1.47
35_1_2_merged_102030765,06:04:00,06:04:00,SCS129C,6,,,,1.98
35_1_2_merged_102030765,06:05:00,06:05:00,SCS19C,7,,,,2.34
35_1_2_merged_102030765,06:05:30,06:05:30,SCS181C,8,,,,2.58
35_1_2_merged_102030765,06:06:00,06:06:00,SCS126B,9,,,,3.01
35_1_2_merged_102030765,06:06:30,06:06:30,SCS44B,10,,,,3.19
35_1_2_merged_102030765,06:07:00,06:07:00,SCS63B,11,,,,3.48
35_1_2_merged_102030765,06:08:00,06:08:00,SCS139B,12,,,,3.67
35_1_2_merged_102030765,06:08:30,06:08:30,SCS62B,13,,,,3.86
35_1_2_merged_102030765,06:09:00,06:09:00,SCS138H,14,,,,3.95
35_1_2_merged_102030765,06:09:30,06:09:30,SCS186C,15,,,,4.28
35_1_2_merged_102030765,06:10:00,06:10:00,SCS188D,16,,,,4.81
35_1_2_merged_102030765,06:10:30,06:10:30,SCS23C,17,,,,5.08
35_1_2_merged_102030765,06:11:00,06:11:00,SCS24D,18,,,,5.26
35_1_2_merged_102030765,06:11:30,06:11:30,SCS25G,19,,,,5.44
35_1_2_merged_102030765,06:12:00,06:12:00,SCS26C,20,,,,5.83
35_1_2_merged_102030765,06:12:30,06:12:30,SCS89C,21,,,,5.98
35_1_2_merged_102030765,06:13:00,06:13:00,SCS28D,22,,,,6.32
35_1_2_merged_102030765,06:14:00,06:14:00,SCS29A,23,,,,6.51
35_1_2_merged_102030765,06:14:30,06:14:30,SCS30D,24,,,,6.67
35_1_2_merged_102030765,06:15:00,06:15:00,SCS90D,25,,,,6.87
35_1_2_merged_102030765,06:16:00,06:16:00,SCS32D,26,,,,7.47
35_1_2_merged_102030765,06:17:00,06:17:00,SCS49A,27,,,,7.75
35_1_2_merged_102030765,06:17:30,06:17:30,SCS208A,28,,,,7.89
35_1_2_merged_102030765,06:18:00,06:18:00,SCS177A,29,,,,8.13
35_1_2_merged_102030765,06:19:00,06:19:00,SCS180B,30,,,,8.56
35_1_2_merged_102030765,06:19:30,06:19:30,SCS96B,31,,,,8.64
35_1_2_merged_102030765,06:20:00,06:20:00,SCS53A,32,,,,8.9
35_1_2_merged_102030765,06:20:30,06:20:30,SCS54B,33,,,,9.07
35_1_2_merged_102030765,06:21:00,06:21:00,SCS19A,34,,,,9.57
35_1_2_merged_102030765,06:22:00,06:22:00,SCS129A,35,,,,9.93
35_1_2_merged_102030765,06:24:00,06:24:00,DEL47D,36,,,,10.44
35_1_2_merged_102030765,06:24:30,06:24:30,DEL38D,37,,,,10.68
35_1_2_merged_102030765,06:25:00,06:25:00,DEL7F,38,,,,11.15
35_1_2_merged_102030765,06:26:00,06:26:00,DEL8A,39,,,,11.46
35_1_2_merged_102030765,06:27:00,06:27:00,DEL9A,40,,,,11.91
34_3_10_merged_102030742,16:58:00,16:58:00,DEL9C_merged_102030406,1,,,,
34_3_10_merged_102030742,17:05:00,17:05:00,SCS156C,2,,,,2.59
34_3_10_merged_102030742,17:06:00,17:06:00,SCS158B,3,,,,3.02
34_3_10_merged_102030742,17:06:30,17:06:30,SCS159B,4,,,,3.18
