stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.3863668157,76105,-73.5942440938,SCS5C,rue Monette / crois. Ste-Catherine,0,5
45.3863668157,76418,-73.5942440938,SCS5A,crois. Ste-Catherine / rue Monette,0,5
45.3772326388,76429,-73.6052095252,SCS215A,rue Rembrandt / rue Riopelle,0,5
45.4004720454,76046,-73.576269849,SCA14B,boul. St-Laurent / rue Centrale,0,5
45.4004720454,76035,-73.576269849,SCA14A,rue Centrale / boul. St-Laurent,0,5
45.3910003305,76310,-73.5703312505,SCA92D,rue des Ormes / rue des Saules,0,5
45.398124609,76346,-73.5378459562,DEL13A,rue Principale / rue Soucy,0,5
45.3645658071,76233,-73.5644902778,SCS49A,rue Côté / rue Berger,0,5
45.3787609668,76147,-73.5563473471,DEL38D,montée des Bouleaux / rue des Cheminots,0,5
45.3910003305,76068,-73.5703312505,SCA92B,rue des Ormes / rue des Saules,0,5
45.3989075775,76056,-73.5588836544,SCA43A,boul. des Écluses / rue des Marins,0,5
45.3655614799,76419,-73.5698912242,SCS48D,montée St-Régis / rue St-Pierre,0,5
45.4007833641,76059,-73.5503529384,SCA8D,boul. Marie-Victorin / rue des Cascades,0,5
45.3655614799,76161,-73.5698912242,SCS48C,rue St-Pierre / montée St-Régis,0,5
45.3798235456,76024,-73.5843629949,SCS83A,rue Monchamp / rue de l'Olivier,0,5
45.376508984,76155,-73.540627723,DEL5D,montée des Bouleaux / rue Principale,0,5
45.3798235456,76124,-73.5843629949,SCS83C,rue Monchamp / rue de l'Olivier,0,5
45.3893034086,76093,-73.578298165,SCS159B,rue Leduc / rue Levasseur,0,5
45.3840616651,76098,-73.5846757706,SCS39B,ch. Ste-Catherine / rue Monchamp,0,5
45.3983533528,76181,-73.5512321103,SCA7C,rue des Cascades / rue des Marins,0,5
45.3884233606,76172,-73.5881559038,SCS40D,rue Maçon / rue Meunier,0,5
45.4059297537,76425,-73.5690978624,SCA104D,boul. Marie-Victorin / place du Canal,0,5
45.3884233606,76248,-73.5881559038,SCS40B,rue Maçon / rue Meunier,0,5
45.3664140666,76215,-73.5735305021,SCS221D,montée St-Régis / rue Leber,0,5
45.3812929434,76194,-73.5490587288,DEL8C,boul. Georges-Gagné / rue Viau,0,5
45.3815659588,76001,-73.5413336464,DEL25D,rue Principale / rue Monette,0,5
45.3669077345,76223,-73.575458781,SCS24D,montée St-Régis / rue Victoria,0,5
45.3669077345,76164,-73.575458781,SCS24B,montée St-Régis / rue Victoria,0,5
45.3919693896,76070,-73.5747258361,SCA90B,rue des Ormes / rue des Merisiers,0,5
45.3815659588,76277,-73.5413336464,DEL25A,rue Principale / rue Monette,0,5
45.3622446859,76232,-73.5635430473,SCS32D,montée de Lasaline / rue Centre,0,5
45.3808407358,76110,-73.5705868015,SCS105D,ch. Ste-Catherine / rue Cartier,0,5
45.3815048299,76109,-73.573447908,SCS169D,ch. Ste-Catherine / rue St-Charles,0,5
45.4006712233,76257,-73.5378093361,DEL14A,rue Principale / boul. Marie-Victorin,0,5
45.3915025937,76069,-73.5729755448,SCA91B,rue des Ormes / rue des Marronniers,0,5
45.3939229108,76040,-73.5577928657,SCA63D,boul. St-Laurent / place Forget,0,5
45.3915025937,76309,-73.5729755448,SCA91D,rue des Ormes / rue des Marronniers,0,5
45.384943095,76084,-73.5965658466,SCS6A,ch. Ste-Catherine / rue Marotte,0,5
45.3867597717,76091,-73.5738378217,SCS156C,rue Legendre / rue Larivière,0,5
45.3677433015,76235,-73.5627449448,SCS177A,rue Beauvais / rue Boisbriand,0,5
45.3952717715,76411,-73.5386870176,DEL12C,rue Principale / rue Corriveau,0,5
45.3958533498,76052,-73.5656753666,SCA13C,rue Brébeuf / boul. St-Laurent,0,5
45.3958533498,76065,-73.5656753666,SCA13B,boul. St-Laurent / rue Brébeuf,0,5
45.3958533498,76413,-73.5656753666,SCA13A,rue Brébeuf / boul. St-Laurent,0,5
45.3803515067,76431,-73.5992394884,SCS220A,ch. Sainte-Catherine / face à l'aréna,0,5
45.3958533498,76037,-73.5656753666,SCA13D,boul. St-Laurent / rue Brébeuf,0,5
45.3986857816,76118,-73.5262229217,CAN1D,CLSC Kateri,0,5
45.379593167,76113,-73.5651330239,SCS117D,ch. Ste-Catherine / rue Longtin,0,5
45.3840616651,76175,-73.5846757706,SCS39C,rue Monchamp / ch. Ste-Catherine,0,5
45.3663602716,76422,-73.5732240556,SCS184B,montée St-Régis / rue Lasalle,0,5
45.3840616651,76121,-73.5846757706,SCS39D,ch. Ste-Catherine / rue Monchamp,0,5
45.3815123135,76114,-73.5607043464,SCS55A,rue St-Pierre / rue Guy,0,5
45.379593167,76292,-73.5651330239,SCS117B,ch. Ste-Catherine / rue Longtin,0,5
45.3756301987,76132,-73.5843439918,SCS97A,rue Monchamp / rue Avignon,0,5
45.3741186558,76416,-73.5840353262,SCS138H,rue Monchamp / rue de la Mairie,0,5
45.3895815627,76094,-73.5794607033,SCS160B,rue Leduc / rue Proulx,0,5
45.3798534807,76112,-73.5662569715,SCS41D,ch. Ste-Catherine / rue Léger,0,5
45.3798534807,76293,-73.5662569715,SCS41B,ch. Ste-Catherine / rue Léger,0,5
45.3870029909,76186,-73.5577730435,SCA4C,boul. des Écluses / route 132,0,5
45.3653774743,76224,-73.5761971443,SCS25G,rue de l'Église/rue Victoria,0,5
45.3846677297,76090,-73.5483465378,DEL9A,Stationnement Incitatif Georges-Gagné,0,5
45.3886921505,76269,-73.5626659523,SCA113A,place du Grand-Duc,0,5
45.4394588671,76424,-73.6222359243,LSL66A,rue Lapierre / boul. Newman,0,1
