route_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
36,0,Direction Delson sud AM,36_2,0102030405_merged_102030412,36_2_9_merged_102030858,18
32,0,Direction Ste-Catherine,32_2,0102030405_merged_102030409,32_2_13_merged_102030430,26
30,0,Direction Ste-Catherine/St-Constant,30_2,06_merged_102030413,30_2_17_merged_102030882,16
35,1,Direction St-Constant,35_1,0102030405_merged_102030409,35_1_2_merged_102030765,2
34,1,Direction St-Constant,34_3,0102030405_merged_102030409,34_3_10_merged_102030742,20
130,0,Direction Montréal,130_2,0102030405_merged_102030409,130_2_3_merged_102030772,6
130,0,Direction Montréal,130_2,07_merged_102030411,130_2_37_merged_102030693,22
39,0,Direction Ste-Catherine,39_2,0102030405_merged_102030409,39_2_6_merged_102030423,12
37,0,Direction Pricipale/Marie-Victorin,37_2,0102030405_merged_102030412,37_2_3_merged_102031058,26
130,1,Direction Delson,130_1,0102030405_merged_102030412,130_1_4_merged_102030851,7
35,1,Direction St-Constant,35_1,0102030405_merged_102030412,35_1_5_merged_102031144,5
39,0,Direction Ste-Catherine,39_2,0102030405_merged_102030412,39_2_4_merged_102030796,8
100,0,Direction Montréal,100_2,0102030405_merged_102030412,100_2_11_merged_102031083,24
30,1,Direction Ste-Catherine,30_1,07_merged_102030414,30_1_25_merged_102030817,13
39,0,Direction Ste-Catherine,39_2,0102030405_merged_102030409,39_2_8_merged_102030425,16
210,0,Delson-Longueuil-Delson,210_2,0102030405_merged_102030412,210_2_1_merged_102030870,2
30,1,Direction Ste-Catherine,30_1,0102030405_merged_102030409,30_1_5_merged_102030460,9
32,0,Direction Ste-Catherine,32_2,0102030405_merged_102030409,32_2_19_merged_102030428,38
100,1,Direction Delson,100_3,0102030405_merged_102030412,100_3_3_merged_102031032,39
38,0,Service AM,38_2,0102030405_merged_102030412,38_2_5_merged_102030938,10
38,1,Service PM,38_1,0102030405_merged_102030409,38_1_3_merged_102030570,5
130,0,Direction Montréal,130_2,07_merged_102030411,130_2_33_merged_102030697,14
130,1,Direction Delson,130_1,07_merged_102030411,130_1_42_merged_102030586,23
35,1,Direction St-Constant,35_1,0102030405_merged_102030412,35_1_4_merged_102031145,4
210,1,Delson-Longueuil-Delson,210_1,0102030405_merged_102030412,210_1_3_merged_102030823,5
130,0,Direction Montréal,130_2,07_merged_102030411,130_2_32_merged_102030698,12
31,0,Direction Ste-Catherine,31_2,0102030405_merged_102030412,31_2_6_merged_102031106,12
35,1,Direction St-Constant,35_1,0102030405_merged_102030409,35_1_18_merged_102030531,18
